,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
20,,大越期货,4267,,-25,,
总计,,,,193079,,1739,,

名次,,会员简称,持卖单量,增减,,
1,,中粮期货,67955,,2029,,
2,,国投安信,45671,,1545,,
3,,摩根大通,19907,,535,,
4,,一德期货,14143,,152,,
5,,新湖期货,13608,,-104,,
6,,信达期货,12898,,-32,,
7,,银河期货,12646,,722,,
8,,中信期货,8852,,-494,,
9,,国泰君安,8759,,-576,,
10,,五矿经易,8372,,218,,
11,,广发期货,8344,,-1466,,
12,,永安期货,7967,,316,,
13,,北京首创,7439,,1008,,
14,,申银万国,6385,,203,,
15,,中国国际,6105,,959,,
16,,安粮期货,5606,,-197,,
17,,东证期货,4683,,338,,
18,,南华期货,4399,,-56,,
19,,平安期货,4130,,540,,
20,,海通期货,3627,,680,,
总计,,,,271496,,6320,,



会员类别,总成交量,增减,,
期货公司会员,275784,,38809,,

会员类别,总持买单量,增减,,
期货公司会员,193079,,1739,,

会员类别,总持卖单量,增减,,
期货公司会员,271496,,6320,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：eg2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,95059,,-20026,,
2,,海通期货,34859,,-16313,,
3,,中信期货,22466,,-8428,,
4,,国泰君安,19293,,-7365,,
5,,徽商期货,19281,,-6597,,
6,,华安期货,16045,,-3488,,
7,,方正中期,10521,,-7152,,
8,,东吴期货,10295,,-1435,,
9,,东方财富,10150,,-5430,,
10,,安粮期货,9865,,2055,,
11,,华泰期货,9072,,-2924,,
12,,银河期货,8267,,-6835,,
13,,永安期货,8093,,-14744,,
14,,国富期货,7751,,-4427,,
15,,申银万国,7234,,-792,,
16,,浙商期货,6512,,668,,
17,,中信建投,6293,,-1727,,
18,,宏源期货,6185,,-1200,,
19,,光大期货,6164,,-342,,
20,,东航期货,6163,,-2326,,
总计,,,,319568,,-108828,

名次,,会员简称,持买单量,增减,,
1,,永安期货,26342,,-1010,,
2,,国投安信,10228,,-645,,
3,,申银万国,7426,,-977,,
4,,华泰期货,6906,,556,,
5,,南华期货,6155,,140,,
6,,海通期货,5797,,1610,,
7,,浙商期货,5360,,84,,
8,,银河期货,5058,,-75,,
9,,国泰君安,4649,,67,,
10,,中信期货,4381,,417,,
11,,东证期货,3702,,-116,,
12,,北京首创,3636,,-8,,
13,,兴证期货,3477,,498,,
14,,广发期货,3464,,134,,
15,,中财期货,3231,,314,,
16,,东吴期货,2861,,1091,,
17,,华闻期货,2853,,622,,
18,,新湖期货,2767,,177,,
19,,徽商期货,2748,,246,,
20,,中信建投,2618,,-459,,
总计,,,,113659,,2666,,

名次,,会员简称,持卖单量,增减,,
1,,银河期货,12238,,68,,
2,,永安期货,10550,,667,,
3,,东海期货,9358,,56,,
4,,天风期货,8564,,326,,
5,,国投安信,7560,,-55,,
6,,鲁证期货,6873,,56,,
7,,上海中期,6141,,258,,
8,,方正中期,5731,,-1706,,
9,,中信期货,5509,,491,,
10,,五矿经易,5162,,186,,
11,,国泰君安,5068,,-296,,
12,,东证期货,4406,,659,,
13,,海通期货,3953,,-357,,
14,,先融期货,3640,,634,,
15,,宝城期货,3404,,871,,
16,,创元期货,3379,,342,,
17,,华泰期货,3362,,-420,,
18,,南华期货,3020,,-362,,
19,,大地期货,2869,,178,,
20,,兴证期货,2630,,206,,
总计,,,,113417,,1802,,



会员类别,总成交量,增减,,
期货公司会员,319568,,-108828,

会员类别,总持买单量,增减,,
期货公司会员,113659,,2666,,

会员类别,总持卖单量,增减,,
期货公司会员,113417,,1802,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：c2003,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,东证期货,12350,,-2708,,
2,,方正中期,12161,,-2216,,
3,,格林大华,5337,,955,,
4,,西部期货,4648,,-1588,,
5,,浙商期货,4630,,1434,,
6,,中大期货,4579,,-1060,,
7,,国海良时,3798,,-4514,,
8,,弘业期货,3796,,-481,,
9,,鲁证期货,3462,,-1754,,
10,,国投安信,3282,,-99,,
11,,中信期货,3139,,-508,,
12,,申银万国,2975,,-3,,
13,,海通期货,2857,,-96,,
14,,华信期货,2800,,-255,,
15,,永安期货,1246,,-2385,,
16,,光大期货,960,,-394,,
17,,锦泰期货,787,,-242,,
18,,金瑞期货,744,,-542,,
19,,新湖期货,646,,-356,,
20,,国元期货,551,,230,,
总计,,,,74748,,-16582,,

名次,,会员简称,持买单量,增减,,
1,,东证期货,40143,,86,,
2,,浙商期货,29219,,0,,
3,,国投安信,27377,,2,,
4,,格林大华,22391,,-58,,
5,,中信期货,22122,,141,,
6,,国海良时,19189,,0,,
7,,申银万国,18914,,-69,,
8,,弘业期货,18628,,47,,
9,,中大期货,18211,,-241,,
10,,方正中期,17771,,1472,,
11,,海通期货,17278,,23,,
12,,鲁证期货,15316,,2,,
13,,新湖期货,14217,,-323,,
14,,永安期货,3478,,31,,
15,,瑞达期货,2295,,51,,
