商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,182357,6637,期货公司  ,期货公司  ,260868,3665,期货公司  ,期货公司  ,267278,3860,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,1501,-145,非期货公司,非期货公司,10469,173,非期货公司,非期货公司,4059,-22,
9,0137      ,宏源期货  ,183,-381,0009      ,五矿经易  ,1383,2,0003      ,建信期货  ,908,0,
10,0268      ,中信建投  ,174,80,0139      ,中粮期货  ,1101,0,0268      ,中信建投  ,888,171,
11,0159      ,倍特期货  ,153,-57,0272      ,银河期货  ,981,-19,0159      ,倍特期货  ,704,-93,
12,0272      ,银河期货  ,124,-514,0169      ,兴业期货  ,915,0,0277      ,一德期货  ,679,-1,
13,0042      ,光大期货  ,114,108,0077      ,新湖期货  ,830,0,0272      ,银河期货  ,632,-13,
14,0034      ,方正中期  ,111,-151,0081      ,海通期货  ,805,1,0081      ,海通期货  ,622,4,
15,0298      ,东方财富  ,86,32,0048      ,长江期货  ,749,0,0298      ,东方财富  ,611,-86,
16,0311      ,兴证期货  ,77,-36,0275      ,鲁证期货  ,711,-4,0385      ,国富期货  ,592,-10,
17,0108      ,金汇期货  ,75,75,0073      ,东华期货  ,700,0,0274      ,中辉期货  ,563,-163,
18,0186      ,徽商期货  ,72,49,0007      ,东海期货  ,614,0,0299      ,华安期货  ,545,1,
19,0081      ,海通期货  ,71,-12,0034      ,方正中期  ,576,-4,0088      ,东亚期货  ,500,0,
20,0008      ,上海中期  ,67,-15,0047      ,迈科期货  ,570,1,0161      ,招商期货  ,500,0,
合计:al2003                        ,,,4860,-5613,,,27195,-81,,,25219,-377,
RANK1合约代码:al2004                        ,,,,,,,,,,
1,0148      ,中信期货  ,640,528,0308      ,国信期货  ,3250,0,0004      ,国泰君安  ,4964,-1,
2,0159      ,倍特期货  ,453,428,0148      ,中信期货  ,1460,-573,0139      ,中粮期货  ,2682,180,
3,0082      ,国投安信  ,396,357,0139      ,中粮期货  ,1153,0,0029      ,国海良时  ,2376,-143,
4,0103      ,永安期货  ,258,256,0082      ,国投安信  ,915,-298,0270      ,前海期货  ,630,0,
5,0272      ,银河期货  ,249,227,0069      ,申万期货  ,841,55,0116      ,首创期货  ,545,-75,
6,0069      ,申万期货  ,209,-151,0081      ,海通期货  ,701,0,0253      ,华泰期货  ,523,0,
7,0139      ,中粮期货  ,180,-276,0009      ,五矿经易  ,581,-1,0240      ,广发期货  ,293,-67,
8,0268      ,中信建投  ,180,174,0008      ,上海中期  ,549,-1,0028      ,通惠期货  ,277,0,
9,0274      ,中辉期货  ,144,-63,0116      ,首创期货  ,534,39,0077      ,新湖期货  ,205,0,
10,0029      ,国海良时  ,143,125,0034      ,方正中期  ,482,0,0254      ,冠通期货  ,200,0,
11,0115      ,新晟期货  ,133,47,0272      ,银河期货  ,478,100,0002      ,中钢期货  ,196,0,
12,0116      ,首创期货  ,116,-30,0007      ,东海期货  ,445,-1,0137      ,宏源期货  ,163,0,
13,0137      ,宏源期货  ,89,89,0275      ,鲁证期货  ,440,0,0272      ,银河期货  ,161,63,
14,0311      ,兴证期货  ,73,21,0254      ,冠通期货  ,242,0,0095      ,国金期货  ,155,0,
15,0240      ,广发期货  ,67,67,0159      ,倍特期货  ,222,197,0103      ,永安期货  ,153,130,
16,0328      ,天富期货  ,58,24,0253      ,华泰期货  ,207,52,0186      ,徽商期货  ,150,0,
17,0253      ,华泰期货  ,52,6,0048      ,长江期货  ,204,2,0069      ,申万期货  ,149,0,
18,0385      ,国富期货  ,41,-14,0103      ,永安期货  ,203,124,0051      ,华金期货  ,146,0,
